NAME                      GPU_COUNT   GPU_TYPE
a100-node-1               10          a100
a100-node-10              10          a100
a100-node-100             10          a100
a100-node-11              10          a100
a100-node-12              10          a100
a100-node-13              10          a100
a100-node-14              10          a100
a100-node-15              10          a100
a100-node-16              10          a100
a100-node-17              10          a100
a100-node-18              10          a100
a100-node-19              10          a100
a100-node-2               10          a100
a100-node-20              10          a100
a100-node-21              10          a100
a100-node-22              10          a100
a100-node-23              10          a100
a100-node-24              10          a100
a100-node-25              10          a100
a100-node-26              10          a100
a100-node-27              10          a100
a100-node-28              10          a100
a100-node-29              10          a100
a100-node-3               10          a100
a100-node-30              10          a100
a100-node-31              10          a100
a100-node-32              10          a100
a100-node-33              10          a100
a100-node-34              10          a100
a100-node-35              10          a100
a100-node-36              10          a100
a100-node-37              10          a100
a100-node-38              10          a100
a100-node-39              10          a100
a100-node-4               10          a100
a100-node-40              10          a100
a100-node-41              10          a100
a100-node-42              10          a100
a100-node-43              10          a100
a100-node-44              10          a100
a100-node-45              10          a100
a100-node-46              10          a100
a100-node-47              10          a100
a100-node-48              10          a100
a100-node-49              10          a100
a100-node-5               10          a100
a100-node-50              10          a100
a100-node-51              10          a100
a100-node-52              10          a100
a100-node-53              10          a100
a100-node-54              10          a100
a100-node-55              10          a100
a100-node-56              10          a100
a100-node-57              10          a100
a100-node-58              10          a100
a100-node-59              10          a100
a100-node-6               10          a100
a100-node-60              10          a100
a100-node-61              10          a100
a100-node-62              10          a100
a100-node-63              10          a100
a100-node-64              10          a100
a100-node-65              10          a100
a100-node-66              10          a100
a100-node-67              10          a100
a100-node-68              10          a100
a100-node-69              10          a100
a100-node-7               10          a100
a100-node-70              10          a100
a100-node-71              10          a100
a100-node-72              10          a100
a100-node-73              10          a100
a100-node-74              10          a100
a100-node-75              10          a100
a100-node-76              10          a100
a100-node-77              10          a100
a100-node-78              10          a100
a100-node-79              10          a100
a100-node-8               10          a100
a100-node-80              10          a100
a100-node-81              10          a100
a100-node-82              10          a100
a100-node-83              10          a100
a100-node-84              10          a100
a100-node-85              10          a100
a100-node-86              10          a100
a100-node-87              10          a100
a100-node-88              10          a100
a100-node-89              10          a100
a100-node-9               10          a100
a100-node-90              10          a100
a100-node-91              10          a100
a100-node-92              10          a100
a100-node-93              10          a100
a100-node-94              10          a100
a100-node-95              10          a100
a100-node-96              10          a100
a100-node-97              10          a100
a100-node-98              10          a100
a100-node-99              10          a100
a30-node-1                10          a30
a30-node-10               10          a30
a30-node-100              10          a30
a30-node-11               10          a30
a30-node-12               10          a30
a30-node-13               10          a30
a30-node-14               10          a30
a30-node-15               10          a30
a30-node-16               10          a30
a30-node-17               10          a30
a30-node-18               10          a30
a30-node-19               10          a30
a30-node-2                10          a30
a30-node-20               10          a30
a30-node-21               10          a30
a30-node-22               10          a30
a30-node-23               10          a30
a30-node-24               10          a30
a30-node-25               10          a30
a30-node-26               10          a30
a30-node-27               10          a30
a30-node-28               10          a30
a30-node-29               10          a30
a30-node-3                10          a30
a30-node-30               10          a30
a30-node-31               10          a30
a30-node-32               10          a30
a30-node-33               10          a30
a30-node-34               10          a30
a30-node-35               10          a30
a30-node-36               10          a30
a30-node-37               10          a30
a30-node-38               10          a30
a30-node-39               10          a30
a30-node-4                10          a30
a30-node-40               10          a30
a30-node-41               10          a30
a30-node-42               10          a30
a30-node-43               10          a30
a30-node-44               10          a30
a30-node-45               10          a30
a30-node-46               10          a30
a30-node-47               10          a30
a30-node-48               10          a30
a30-node-49               10          a30
a30-node-5                10          a30
a30-node-50               10          a30
a30-node-51               10          a30
a30-node-52               10          a30
a30-node-53               10          a30
a30-node-54               10          a30
a30-node-55               10          a30
a30-node-56               10          a30
a30-node-57               10          a30
a30-node-58               10          a30
a30-node-59               10          a30
a30-node-6                10          a30
a30-node-60               10          a30
a30-node-61               10          a30
a30-node-62               10          a30
a30-node-63               10          a30
a30-node-64               10          a30
a30-node-65               10          a30
a30-node-66               10          a30
a30-node-67               10          a30
a30-node-68               10          a30
a30-node-69               10          a30
a30-node-7                10          a30
a30-node-70               10          a30
a30-node-71               10          a30
a30-node-72               10          a30
a30-node-73               10          a30
a30-node-74               10          a30
a30-node-75               10          a30
a30-node-76               10          a30
a30-node-77               10          a30
a30-node-78               10          a30
a30-node-79               10          a30
a30-node-8                10          a30
a30-node-80               10          a30
a30-node-81               10          a30
a30-node-82               10          a30
a30-node-83               10          a30
a30-node-84               10          a30
a30-node-85               10          a30
a30-node-86               10          a30
a30-node-87               10          a30
a30-node-88               10          a30
a30-node-89               10          a30
a30-node-9                10          a30
a30-node-90               10          a30
a30-node-91               10          a30
a30-node-92               10          a30
a30-node-93               10          a30
a30-node-94               10          a30
a30-node-95               10          a30
a30-node-96               10          a30
a30-node-97               10          a30
a30-node-98               10          a30
a30-node-99               10          a30
b100-node-1               10          b100
b100-node-10              10          b100
b100-node-100             10          b100
b100-node-11              10          b100
b100-node-12              10          b100
b100-node-13              10          b100
b100-node-14              10          b100
b100-node-15              10          b100
b100-node-16              10          b100
b100-node-17              10          b100
b100-node-18              10          b100
b100-node-19              10          b100
b100-node-2               10          b100
b100-node-20              10          b100
b100-node-21              10          b100
b100-node-22              10          b100
b100-node-23              10          b100
b100-node-24              10          b100
b100-node-25              10          b100
b100-node-26              10          b100
b100-node-27              10          b100
b100-node-28              10          b100
b100-node-29              10          b100
b100-node-3               10          b100
b100-node-30              10          b100
b100-node-31              10          b100
b100-node-32              10          b100
b100-node-33              10          b100
b100-node-34              10          b100
b100-node-35              10          b100
b100-node-36              10          b100
b100-node-37              10          b100
b100-node-38              10          b100
b100-node-39              10          b100
b100-node-4               10          b100
b100-node-40              10          b100
b100-node-41              10          b100
b100-node-42              10          b100
b100-node-43              10          b100
b100-node-44              10          b100
b100-node-45              10          b100
b100-node-46              10          b100
b100-node-47              10          b100
b100-node-48              10          b100
b100-node-49              10          b100
b100-node-5               10          b100
b100-node-50              10          b100
b100-node-51              10          b100
b100-node-52              10          b100
b100-node-53              10          b100
b100-node-54              10          b100
b100-node-55              10          b100
b100-node-56              10          b100
b100-node-57              10          b100
b100-node-58              10          b100
b100-node-59              10          b100
b100-node-6               10          b100
b100-node-60              10          b100
b100-node-61              10          b100
b100-node-62              10          b100
b100-node-63              10          b100
b100-node-64              10          b100
b100-node-65              10          b100
b100-node-66              10          b100
b100-node-67              10          b100
b100-node-68              10          b100
b100-node-69              10          b100
b100-node-7               10          b100
b100-node-70              10          b100
b100-node-71              10          b100
b100-node-72              10          b100
b100-node-73              10          b100
b100-node-74              10          b100
b100-node-75              10          b100
b100-node-76              10          b100
b100-node-77              10          b100
b100-node-78              10          b100
b100-node-79              10          b100
b100-node-8               10          b100
b100-node-80              10          b100
b100-node-81              10          b100
b100-node-82              10          b100
b100-node-83              10          b100
b100-node-84              10          b100
b100-node-85              10          b100
b100-node-86              10          b100
b100-node-87              10          b100
b100-node-88              10          b100
b100-node-89              10          b100
b100-node-9               10          b100
b100-node-90              10          b100
b100-node-91              10          b100
b100-node-92              10          b100
b100-node-93              10          b100
b100-node-94              10          b100
b100-node-95              10          b100
b100-node-96              10          b100
b100-node-97              10          b100
b100-node-98              10          b100
b100-node-99              10          b100
